Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Mitotic Spindle,3/199,0.0744019325363875,0.3548797032648668,0,0,3.1749731471535982,8.249448154994026,CENPE;ESPL1;DLGAP5
MSigDB_Hallmark_2020,Apical Junction,3/200,0.0752775128137596,0.3548797032648668,0,0,3.1586962329682073,8.170200992229566,PPP2R2C;INSIG1;ATP1A3
KEGG_2021_Human,Retinol metabolism,2/68,0.0439278715695655,0.4445926421687842,0,0,6.261363636363637,19.568052911815936,UGT2B15;ADH6
KEGG_2021_Human,Glycolysis / Gluconeogenesis,2/67,0.0427694193952821,0.4445926421687842,0,0,6.358012820512821,20.040023632286136,ADH6;PCK2
KEGG_2021_Human,Hippo signaling pathway,3/163,0.0461059036323183,0.4445926421687842,0,0,3.896447368421053,11.988644887827936,PPP2R2C;FZD7;FRMD1
MSigDB_Hallmark_2020,Notch Signaling,1/32,0.1455584895854472,0.4460473478484676,0,0,6.608247422680412,12.73526431256762,FZD7
MSigDB_Hallmark_2020,Coagulation,2/138,0.1469058489647773,0.4460473478484676,0,0,3.0278799019607843,5.807362772916074,MMP3;GP1BA
MSigDB_Hallmark_2020,Hypoxia,2/200,0.2568151396703299,0.4460473478484676,0,0,2.073232323232323,2.818349436543183,PFKFB3;SLC2A1
MSigDB_Hallmark_2020,Fatty Acid Metabolism,2/158,0.1814353403328287,0.4460473478484676,0,0,2.637019230769231,4.50101193888115,CYP4A22;CYP4A11
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,1/49,0.214142359503524,0.4460473478484676,0,0,4.264175257731959,6.571581270407724,NQO1
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,2/199,0.2549997632475111,0.4460473478484676,0,0,2.0838620981387477,2.847582266279318,EOMES;ETV4
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,2/200,0.2568151396703299,0.4460473478484676,0,0,2.073232323232323,2.818349436543183,PFKFB3;CXCL1
MSigDB_Hallmark_2020,Myogenesis,2/200,0.2568151396703299,0.4460473478484676,0,0,2.073232323232323,2.818349436543183,NQO1;MYOM2
