gene,log2FC,t_stat,p_value,p_adjusted
KCNJ8,-0.4418332721113118,-4.280131067623291,2.4043392411831758e-05,0.024043392411831756
PAEP,0.4412688992640468,4.274383083270448,2.4640834818383548e-05,0.02464083481838355
C21orf34,-0.44053637897019615,-4.266924284053067,2.543726414024206e-05,0.02543726414024206
TDRD5,0.4405188589385828,4.266745907378022,2.545660848439778e-05,0.02545660848439778
BICD1,0.439446008331002,4.255825220076237,2.6668056431677757e-05,0.02666805643167776
SLC6A3,0.4392942225536417,4.254280498685735,2.6843796238339856e-05,0.026843796238339858
SFN,0.4379729323745393,4.240837190275576,2.8420612946801905e-05,0.028420612946801906
CHAD,-0.43766043859654363,-4.237658671799435,2.880615462602274e-05,0.028806154626022738
LOC728989,-0.4376375770756915,-4.237426154736009,2.8834553136335386e-05,0.028834553136335386
GPR182,-0.4372946610047381,-4.233938603954651,2.926372564513862e-05,0.02926372564513862
CCBP2,-0.437028177967685,-4.231228687485758,2.9601406226893087e-05,0.029601406226893088
HAO1,-0.43678287357101847,-4.2287343564270214,2.9915507362825178e-05,0.029915507362825177
DEPDC7,-0.4366104443322135,-4.226981181437984,3.0138178608341582e-05,0.030138178608341584
PNCK,0.4363333863266837,4.22416438197718,3.049925688204584e-05,0.03049925688204584
SEC14L3,-0.4362745315697817,-4.223566056889398,3.05764844433594e-05,0.030576484443359395
IYD,-0.4362019408390527,-4.222828103992589,3.067199120941609e-05,0.03067199120941609
IL27,-0.4360791672399088,-4.221580039738602,3.083416542555907e-05,0.03083416542555907
GABRA3,0.43569828162243524,4.217708438075005,3.13424660767011e-05,0.031342466076701096
PHLDA2,0.43541541646460713,4.214833521213765,3.172507499649297e-05,0.03172507499649297
ITIH1,-0.4354074747564986,-4.214752808914485,3.173588065869368e-05,0.031735880658693684
TINAG,0.43507226754646716,4.2113462688596055,3.219515935336545e-05,0.03219515935336545
GPLD1,-0.43417643325231003,-4.202244317079299,3.345362179936808e-05,0.033453621799368075
HSD17B6,-0.4340157327589461,-4.200611847203115,3.368423863629544e-05,0.033684238636295445
ADH6,-0.4339682183118182,-4.20012919564669,3.375271210883785e-05,0.03375271210883785
KDELR3,0.4339307508441075,4.199748606571295,3.380679964396531e-05,0.03380679964396531
HLF,-0.43353991280671594,-4.195778775448122,3.4375924077331746e-05,0.03437592407733175
C13orf29,0.43351875739176426,4.195563913985153,3.440698635990675e-05,0.03440698635990675
AQP9,-0.43337343176266785,-4.194087944484978,3.462109031548879e-05,0.03462109031548879
